WorkerId,AcceptTime,SubmitTime,Answer 53,type,grammaticality,sentence,response,rt,locative,subject,copula,question_number
KNJQTC68992R2YA68C16DB6RZP1F3VZ7MC59AQ8MIVX891D4LB,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,0,There's a pigeon on the sidewalk.,7,2208,on the sidewalk,sg,'s,19
Q8LUOEZMDQU76B6AH0YZMTR0Z4I4EMYS98SJ9217QV9OCST0YU,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,0,There's a table and a chair in the lounge.,7,2231,in the lounge,conj_sg,'s,30
4EDW870ACU6N6NTPXYY8FL5UAT3ZTCUCS6YSY2FNOQ15CS5C3Z,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,The men plays checkers in the park.,7,2547,in the lounge,conj_sg,'s,31
ATS6LQDFPBXM1BTOUW1J59LT47PVTZ1ET7PKNTEY81YMOWPKXT,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,1,There are a duck in the pond.,1,4698,in the pond,sg, are,38
1MWYHVMZPLF3FA393DSUN956SH8YWBIJ4P00S61VCQYCW7I68J,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,1,There's cats in this house.,1,5161,in this house,pl,'s,51
RQSTKGT8CEZIGV1FXCXSRA1YWTBBCPY067VI7QEWZXJJW3B1A0,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Every dish him cooks is delicious.,1,3262,in this house,pl,'s,32
IFES99O7OTNCHR3KANNQS3IEVTFHIVDHCX8XPWP4Z8DT5Z5Q99,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,Every house in the neighborhood has internet access.,7,3350,in this house,pl,'s,52
Z082C2N2CQN5HLCRO0OPZ3RC6HCK1RB1YLCN1J7MMYDIGCXANV,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,,There's trees and a bush in the yard.,5,5389,in the yard,conj_pl,'s,50
K5KUL8NWHEHR34SGOSWDF05OF791R455ASAXQVBERNT0INQV5D,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The men plays checkers in the park.,1,2947,in the yard,conj_pl,'s,33
JQSJ5MRMP64WU3E4BKDMJBLLW878V9UY5POK4VDIB5FFA99F61,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,1,There are a chicken at this farm.,1,3065,at this farm,sg, are,39
BT3VWD7TEJK4JO9AVU7RHZSKA8S8JORJ7H8HM8FEGBKCF75D5G,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The skunks loves to spray me.,1,4598,at this farm,sg, are,29
E74QM3W3K7AITYNP3NEVGCTUJSAQK41BRWADBG46WIU81U1DIE,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,All of the doctors said that she was healthy.,7,2831,at this farm,sg, are,28
CF3KTGL2ZBVA1AK3SX9E9N8OGC98GH96CSPK9K0IUXB1FQ36Y7,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,The jacket fit him well.,7,2560,at this farm,sg, are,25
AURZD93H9RVSDRR45SF4WHM3YPLN9RYOB1NV6W8APG57SOBQTJ,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,The employee has come in late every day.,7,5488,at this farm,sg, are,24
VCN8GMPQOUDB18X8ZOSQ6H99PUCCV0P3PR1CUV13REE2TJCT3P,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,0,There's a pillow on top of the bed.,7,2200,on top of the bed,sg,'s,27
TGBQBUKOXUTUGUDQHHYAA1QMJ33A8S5QU0YIVFNANRAB0T5I0H,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,Every parent with a daughter loves she.,1,2800,on top of the bed,sg,'s,26
HXL15ZFP6O3WBJE5V1HOUAEY5TLB17INCN7EE0A2JOSFAMB0B9,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,Every house in the neighborhood have internet access.,1,3465,on top of the bed,sg,'s,21
KIWNNASYMWZVROWVW1JTU948H1XBUDCDRCULIVE0VRA0GLPR59,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,A basketball player was cut from the team because he did not come to practice.,7,3764,on top of the bed,sg,'s,20
98L2WYR00WMVC13Z64440G7T16YHBIP8QN5LMW2L8URHTQQAXX,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,0,There are restaurants on this block.,7,2611,on this block,pl, are,23
BLFLIVQ72HRW8U1VU3OVKHCYAHH5X419WNGU8NHSR9JNSRU2IP,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,All of the students eat in the cafeteria.,7,2631,on this block,pl, are,22
QRG6RP3YEDWNXJSTPT4HD4AQZ1XFLLC3KKULJX9XEFRXHVCCF8,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,0,There's cats in this house.,5,3337,in this house,pl,'s,47
JX04IQTNMRFQVQKVEJLQT9H0PX00HUGR4IISA9PVQNH7W9CDJP,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,Some women runs the shop.,2,2744,in this house,pl,'s,46
KKM7WFIHLQZYCCSVPS65ZXFOZ3SIGK5F53XUTP5B7XAGL5YW7S,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,Some clothes of yours ended up in my laundry.,7,3782,in this house,pl,'s,45
RN706FGYNES1BXQ88EB7H52YRA2GIJWF49LSU3ACEU10OD4EZR,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The computers at the university costs thousands of dollars.,7,5553,in this house,pl,'s,44
UE6K2XHK5FGHD77WT6QB0RS8GACK2U1U86CAY4PIE8P71HTTNR,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,1,There are tables and a chair in the lounge.,7,2611,in the lounge,conj_pl, are,43
8XRH2DY2JWB7WN31I586VEEDWKXJ3SOSYHFOV6J8SUKN2NTPTA,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,Every government official plan to attend the meeting.,2,4165,in the lounge,conj_pl, are,42
TGNTUVJX2EZWKTRPEHKOAUIBUJLLNTXKZT8GD52U9JG8T5MFZS,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,Some bicycles have to be fixed.,7,6353,in the lounge,conj_pl, are,41
7PD7UJVO46DQ2OQA9BXS4RUJI5ZUGWK7YHNE64LP56R14AV7XG,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,A backpack carry all of my textbooks.,2,4361,in the lounge,conj_pl, are,40
I7ICH4CTNOK63TPZUCNEV65DPVQUHKY3XAFO2WDSUOJNS25AOA,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The televisions that her owns are broken.,1,3261,in the lounge,conj_pl, are,49
WU10GSVI50GIRBIEA8GHTGBGFVASPFM3TQBIUQ70WF28LYD4U7,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The snake is I favorite animal.,1,3448,in the lounge,conj_pl, are,48
GRCJQOQFG2X9H7SCQ4OTJBI6LV3H0C3GKDAD7CBEFP08KT4408,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The gophers were asleep in it holes.,2,4278,in the lounge,conj_pl, are,6
78L8BSCH6HWNLGEITHEGWI1BG0NRF9HYAYSBZMDLWGAL4O9FL1,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,1,There is pigeons on the sidewalk.,2,19495,on the sidewalk,pl, is,7
K1QA0YJC3MOF0EH1F8GVN2775AD4G1D9B2OTX9R692GLCLF9H8,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,I gave the package to her yesterday.,7,4779,on the sidewalk,pl, is,4
UELIYBHEVY163G18RVJGT9QJW4UR3PM2XGPDT6QCEM1B0A7XDJ,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,All of the books on the shelf belong to her.,7,2897,on the sidewalk,pl, is,5
F1C3YPV5WPYBT3TEDX0W997D6XTOC22JWTTMHJBE1O5P2KFVW8,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,He phone's screen is broken.,1,4985,on the sidewalk,pl, is,2
TC9Z7Z3F34Q4MSU75M724PO6PEQ7G1ACTT2H5Z39ZU9W1J4EAC,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,Children play in this park all the time.,7,6479,on the sidewalk,pl, is,3
VO7X3PJKJU63ZVF5TRRB19CNQJR4CBHUJBPYZQZXZNS140NVRI,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,My stereo have not worked for a while.,1,6469,on the sidewalk,pl, is,1
MJ3RIVI292ZFOTKOUUMK8BHRO7ESB2F36NWB5JSHRXOEP8C9ID,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,Every spider scares I.,1,3045,on the sidewalk,pl, is,8
VJX108BR2E6IMY2PBBQLSR4PHWFA0QFDGI465EK0HYQERDMCS7,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,Some managers suggested that we fire him.,7,4834,on the sidewalk,pl, is,9
MH1G0LSGBZ7W9Y8HANZZSN3Y5CTWMUZY1VMVINR1F8FU9OOK9B,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,All of the mice were in it cages.,1,3316,on the sidewalk,pl, is,14
X8OCYEO3573KJ8BMEXW30I33AY5K9ONIGNJFSQJEPLNZ7MHXOX,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,1,There are a truck and a minivan in the driveway.,7,6564,in the driveway,conj_sg, are,15
0D3H2XW382BYVSTUZBN1KI58TQ8AME182YK15B3I67JP593H0Y,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,A hawk is flying after she prey.,1,3432,in the driveway,conj_sg, are,16
BA6EXL08PE89HS1J818CR17RF1Q2A7BRCTYDKGO8IOMI0VRHPO,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,The landlord told me that my lease was up.,7,3442,in the driveway,conj_sg, are,17
33RXGH0RV557C2JWKO31FGP8O4F4B3JSOTHQ90583GXUDC68QL,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,Every dolphin likes to play.,7,1896,in the driveway,conj_sg, are,10
22MWG3OSIKBPO3MB4Y8XYO4LMY1906SIB9JAG480VG59MC5D2D,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,0,There is a magazine on the table.,7,2013,on the table,sg, is,11
F64O15B2UWTF81LF0RCTEKZC92KLCKX95NJK7Y46PWU871D9I1,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,Some foxes lives in the woods behind my house.,7,3683,on the table,sg, is,12
I6T4GM0J9GZUJ2JOQ8JR1SUDCKLX42KBL5K7KGFVMB5TONU3TA,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The politicians debated among themself in private.,7,6597,on the table,sg, is,13
6SZTWQGQ15ZPZ36K0YBL4FI0JV83Z7ISFMH8LFWWJON9N56SHS,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,All of the airplanes take off from this runway.,7,2277,on the table,sg, is,36
RVAWMU5WJFEC9OTEO307EKM9PSOI6J9MMXOEI4NFNKCG2PL3PQ,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,The elephant have a long trunk.,1,2300,on the table,sg, is,37
U2HUCIMSR0SU384666LNU5AC1W2U4OAW69IKZE0RG0079OZYQD,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,All of the birds sleep on my roof.,7,3687,on the table,sg, is,34
D78729G95871IZEKNS84LRP1ESA00GNATGWGWSY1F8HKXZYZM6,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,0,There is a duck and a swan in the pond.,7,2794,in the pond,conj_sg, is,35
Q1SMN16U6HORSYRLIUJYQOIS8NDV665ABSYAEJ7EGL7573THAH,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,0,There's a giraffe and a panda in the zoo.,7,2877,in the zoo,conj_sg,'s,18
IOBG36DSS5K6BR4P28EI96WR7EXOH8RF9CXO34J8X8RR02K6RA,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,An apple fell from the tree and hit me.,7,2564,in the zoo,conj_sg,'s,19
2D88RXT1GUVQJPZQNMK57F4W520R7A6LB56VKI7031J8ZX38JM,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,target,0,There is turtles and a shark at the aquarium.,2,5716,at the aquarium,conj_pl, is,30
JMEFD529YFAW1IRHNXNW04SZA1J6U60GHOEXV1XOTVPB7PZKBH,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,1,A male lion have a large mane.,1,3779,at the aquarium,conj_pl, is,31
N84ZFAH1VY0M0JACK23A49XWGFSXAZZNKUHQTTGAQZ913NX2MJ,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,Every dish he cooks is delicious.,7,4182,at the aquarium,conj_pl, is,38
416ZT9DQU40MDDV5N3F1HS18FK7VDBY8LPDIFIPUU4XDGWUCIL,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,A teacher has to be present during the exam.,7,3046,at the aquarium,conj_pl, is,51
5BE0VVNLPXBREENGP60FFHWEMJ0XY6QFMQRLJOC9VW4NTW9Y4M,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,The stapler requires extra-large staples.,7,2483,at the aquarium,conj_pl, is,32
R0ZP00NDDBPGRLOAEI8FNZ7D22XXKC0MEKQ2IC0XSTF7Q7BS8F,Sat Jan 02 05:44:31 PST 2016,Sat Jan 02 05:48:29 PST 2016,"""English """,filler,0,Some deer make a home for themselves around here.,7,2997,at the aquarium,conj_pl, is,52
410BGMSVK0TIZQ8ECQL48FXONDT39XEPPPK641S739ZK52TC9S,Sat Jan 02 05:44:46 PST 2016,Sat Jan 02 05:48:49 PST 2016,"""English""",filler,0,Every spider scares me.,7,2651,,,,50
